Ticker;SimFinId;"Company Name";IndustryId
1COV.DE;854465;Covestro;110001
ADS.DE;847329;"adidas Group";103002
ALV.DE;849433;"Allianz SE";104005
BAS.DE;854462;BASF;110001
BAYN.DE;849702;Bayer;106005
BEI.DE;854463;Beiersdorf;102002
BMW.DE;825112;"BMW Group";103005
BNTX;1212484;"BioNTech SE";106002
CON.DE;854464;"Continental AG";103005
DAI.DE;825113;"Daimler AG";103005
DB1.DE;854467;"Deutsche Börse";104003
DBK.DE;1088259;"Deutsche Bank AG";104002
DHER.DE;1087474;"Delivery Hero";103003
DPW.DE;854468;"Deutsche Post";100010
DRI.DE;936426;"1&1 Drillisch AG";108001
DTE.DE;1099105;"Deutsche Telekom";108001
DWNI.DE;1105024;"Deutsche Wohnen";109002
EOAN.DE;854469;E.ON;105001
FMS;1108967;"Fresenius Medical Care";106011
FRE.DE;849704;Fresenius;106004
GLJ.DE;928737;"Grenke AG";104007
HEI.DE;854470;HeidelbergCement;110005
HEN.DE;854471;Henkel;102002
IFX.DE;858321;Infineon;101004
MRK.DE;1117110;"Merck Group";111001
MTX.DE;1117259;"MTU Aero Engines";100008
MUV2.DE;1117320;"Munich Re";104013
RWE.DE;858324;RWE;105001
SAP.DE;858325;SAP;101003
SIE.DE;849707;Siemens;100001
VNA.DE;858328;Vonovia;109002
VOW.DE;858327;Volkswagen;103005
