Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Restated Date";"Shares (Basic)";"Shares (Diluted)";"Net Income/Starting Line";"Depreciation & Amortization";"Non-Cash Items";"Change in Working Capital";"Change in Accounts Receivable";"Change in Inventories";"Change in Accounts Payable";"Change in Other";"Net Cash from Operating Activities";"Change in Fixed Assets & Intangibles";"Net Change in Long Term Investment";"Net Cash from Acquisitions & Divestitures";"Net Cash from Investing Activities";"Dividends Paid";"Cash from (Repayment of) Debt";"Cash from (Repurchase of) Equity";"Net Cash from Financing Activities";"Net Change in Cash"
A;45846;USD;2016;FY;2016-10-31;2016-12-20;2018-12-20;326000000;329000000;462000000;246000000;115000000;-30000000;-33000000;-7000000;-15000000;25000000;793000000;-139000000;1000000;-261000000;-238000000;-150000000;262000000;-372000000;-268000000;286000000
A;45846;USD;2017;FY;2017-10-31;2017-12-21;2018-12-20;322000000;326000000;684000000;212000000;193000000;-200000000;-81000000;-61000000;2000000;-60000000;889000000;-176000000;0;-126000000;-305000000;-170000000;110000000;-128000000;-202000000;389000000
A;45846;USD;2018;FY;2018-10-31;2018-12-20;2020-12-18;321000000;325000000;316000000;210000000;90000000;471000000;-65000000;-83000000;40000000;579000000;1087000000;-176000000;;-516000000;-705000000;-191000000;-210000000;-366000000;-797000000;-432000000
A;45846;USD;2019;FY;2019-10-31;2019-12-19;2021-12-17;314000000;318000000;1071000000;238000000;-152000000;-136000000;-106000000;-36000000;29000000;-23000000;1021000000;-155000000;;-1408000000;-1590000000;-206000000;600000000;-669000000;-299000000;-866000000
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2021-12-17;309000000;312000000;719000000;308000000;220000000;-326000000;-107000000;-68000000;2000000;-153000000;921000000;-118000000;;;-147000000;-222000000;-45000000;-409000000;-717000000;59000000
A21;1333027;USD;2019;FY;2019-12-31;2020-03-09;2022-04-19;;;-2417874000;116391000;672729000;-153561000;;;;;-1793710000;-951253000;-98000000;-560000000;-2574836000;;401357000;5156924000;5655690000;1340866000
A21;1333027;USD;2020;FY;2020-12-31;2021-03-10;2022-04-19;;;-166030000;320996000;-83148000;3067838000;;;;;3139804000;-674652000;-65000000;-35448000;-18737725000;;3685057000;21025640000;24710697000;8736130000
AA;367153;USD;2016;FY;2016-12-31;2017-02-03;2019-02-26;183000000;183000000;-346000000;718000000;168000000;-851000000;;;;;-311000000;-404000000;143000000;112000000;-415000000;;1190000000;10000000;1015000000;302000000
AA;367153;USD;2017;FY;2017-12-31;2018-02-26;2019-02-26;184000000;187000000;559000000;752000000;439000000;-526000000;;;;;1224000000;-405000000;-66000000;245000000;-473000000;;-32000000;43000000;-259000000;506000000
AA;367153;USD;2018;FY;2018-12-31;2019-02-26;2021-02-25;186000000;189000000;893000000;733000000;-356000000;-822000000;;;;;448000000;-399000000;-7000000;1000000;-405000000;;425000000;-27000000;-288000000;-249000000
AA;367153;USD;2019;FY;2019-12-31;2020-02-21;2022-02-24;185000000;185000000;-853000000;713000000;1091000000;-265000000;;;;;686000000;-379000000;-112000000;23000000;-468000000;;-7000000;2000000;-444000000;-233000000
AA;367153;USD;2020;FY;2020-12-31;2021-02-25;2022-02-24;186000000;186000000;-14000000;653000000;-221000000;-24000000;;;;;394000000;-353000000;-12000000;198000000;-167000000;;738000000;1000000;514000000;727000000
AAC_delist;939324;USD;2016;FY;2016-12-31;2017-03-07;2019-04-15;22718117;22718117;-26370000;17686000;48590000;-39763000;;;;;143000;-37304000;;-18825000;-56454000;;-7405000;;41525000;-14786000
AAL;68568;USD;2016;FY;2016-12-31;2017-02-22;2017-02-22;552308000;556099000;2676000000;1818000000;1776000000;254000000;;;;;6524000000;-5608000000;;;-5698000000;-224000000;7701000000;-4500000000;-894000000;-68000000
AAL;68568;USD;2017;FY;2017-12-31;2018-02-21;2019-02-25;489164000;491692000;1282000000;2017000000;2166000000;-721000000;;;;;4744000000;-5024000000;;-203000000;-3636000000;-198000000;3058000000;-1615000000;-1145000000;-37000000
AAL;68568;USD;2018;FY;2018-12-31;2019-02-25;2021-02-17;464236000;465660000;1412000000;2159000000;528000000;-566000000;;;;;3533000000;-2538000000;;;-1973000000;-186000000;2354000000;-837000000;-1672000000;-112000000
AAL;68568;USD;2019;FY;2019-12-31;2020-02-19;2022-02-22;443363000;444269000;1686000000;2318000000;678000000;-867000000;;;;;3815000000;-4062000000;;;-2243000000;-178000000;-230000000;-1097000000;-1568000000;4000000
AAL;68568;USD;2020;FY;2020-12-31;2021-02-17;2022-02-22;483888000;483888000;-8885000000;2370000000;-1245000000;1217000000;;;;;-6543000000;-1690000000;;;-4342000000;-43000000;8245000000;2797000000;10994000000;109000000
AAMC;847094;USD;2016;FY;2016-12-31;2017-03-01;2018-03-01;1752302;1752302;-4935000;0;9585000;-4842000;;;;;-192000;0;-15588000;0;-152856000;;0;-10907000;-11478000;-164526000
AAMC;847094;USD;2017;FY;2017-12-31;2018-03-01;2018-03-01;1570428;1570428;-6969000;302000;6986000;46000;;;;;365000;-1216000;0;0;-1841000;;0;-5194000;-5759000;-7235000
AAMC;847094;USD;2018;FY;2018-12-31;2019-04-30;2019-04-30;1611424;1611424;-10876000;436000;9550000;-1536000;;;;;-2426000;-148000;612000;;-107000;;0;-3624000;-3645000;-6178000
AAMC;847094;USD;2019;FY;2019-12-31;2020-04-29;2021-03-03;1589952;1589952;-10557000;322000;-3349000;-1343000;;;;;-6744000;-163000;;;-186000;;;;-244000;-7206000
AAN;441241;USD;2016;FY;2016-12-31;2017-02-24;2017-02-24;72354000;73013000;139283000;1386673000;165482000;-1225994000;;;;;465444000;-38060000;;26137000;-20081000;-7420000;-109679000;-33975000;-151871000;293619000
AAN;441241;USD;2017;FY;2017-12-31;2018-03-01;2018-03-01;70837000;72121000;292536000;1531203000;192561000;-1857165000;;;;;159135000;-45268000;;-144417000;-205337000;-7962000;-135035000;-59093000;-211397000;-257524000
