Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Restated Date";"Shares (Basic)";"Shares (Diluted)";Revenue;"Cost of Revenue";"Gross Profit";"Operating Expenses";"Selling, General & Administrative";"Research & Development";"Depreciation & Amortization";"Operating Income (Loss)";"Non-Operating Income (Loss)";"Interest Expense, Net";"Pretax Income (Loss), Adj.";"Abnormal Gains (Losses)";"Pretax Income (Loss)";"Income Tax (Expense) Benefit, Net";"Income (Loss) from Continuing Operations";"Net Extraordinary Gains (Losses)";"Net Income";"Net Income (Common)"
1COV.DE;854465;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;202500000;202500000;11904000000;-8611000000;3293000000;-2088000000;-1774000000;-259000000;;1331000000;-196000000;-114000000;1135000000;;1135000000;-329000000;806000000;;795000000;795000000
1COV.DE;854465;EUR;2017;FY;2017-12-31;2018-02-15;2019-02-15;202396416;202396416;14138000000;-9308000000;4830000000;-1962000000;-1833000000;-274000000;;2808000000;-150000000;-99000000;2658000000;;2658000000;-641000000;2017000000;;2009000000;2009000000
1COV.DE;854465;EUR;2018;FY;2018-12-31;2019-02-15;2020-02-15;192768826;192768826;14616000000;-9918000000;4698000000;-2052000000;-1899000000;-276000000;;2580000000;-104000000;-47000000;2476000000;;2476000000;-647000000;1829000000;;1823000000;1823000000
1COV.DE;854465;EUR;2019;FY;2019-12-31;2020-02-15;2021-02-15;182728724;182728724;12412000000;-9658000000;2754000000;-2083000000;-1752000000;-266000000;;852000000;-91000000;-45000000;761000000;;761000000;-204000000;557000000;;552000000;552000000
1COV.DE;854465;EUR;2020;FY;2020-12-31;2021-02-15;2022-02-15;182728724;182728724;10706000000;-8207000000;2499000000;-1866000000;-1505000000;-262000000;;696000000;-91000000;-47000000;605000000;;605000000;-151000000;454000000;;459000000;459000000
ADS.DE;847329;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;200188276;206146908;18483000000;-9383000000;9100000000;-7885000000;;;;1582000000;-46000000;-46000000;1536000000;;1536000000;-454000000;1082000000;-62000000;1018000000;1018000000
ADS.DE;847329;EUR;2017;FY;2017-12-31;2018-02-15;2019-02-15;202391673;204240629;21218000000;-10514000000;10704000000;-8729000000;-8599000000;;;2107000000;-47000000;-47000000;2060000000;-37000000;2023000000;-668000000;1355000000;-254000000;1098000000;1098000000
ADS.DE;847329;EUR;2018;FY;2018-12-31;2019-02-15;2020-02-15;201759012;202044967;21915000000;-10552000000;11363000000;-9132000000;-9027000000;;;2408000000;10000000;10000000;2418000000;-41000000;2377000000;-669000000;1708000000;-5000000;1700000000;1700000000
ADS.DE;847329;EUR;2019;FY;2019-12-31;2020-02-15;2021-02-15;197606107;197606107;23640000000;-11347000000;12293000000;-9825000000;-9691000000;;;2678000000;-102000000;-102000000;2576000000;-18000000;2558000000;-640000000;1918000000;59000000;1975000000;1975000000
ADS.DE;847329;EUR;2020;FY;2020-12-31;2021-02-15;2022-02-15;195155924;195161729;18435000000;-9213000000;9222000000;-8469000000;-8353000000;;;856000000;-167000000;-167000000;689000000;-111000000;578000000;-117000000;461000000;-19000000;431000000;431000000
BAS.DE;854462;EUR;2016;FY;2016-12-31;2017-02-15;2018-02-15;918479000;919727891;57550000000;-39265000000;18285000000;-14097000000;-9101000000;-1863000000;;5968000000;-573000000;-482000000;5395000000;;5395000000;-1140000000;4255000000;;4056000000;4056000000
